組み合わせ,共起回数
"慰安, 日本, 者, 被害, 軍",104
"慰安, 日本, 者, 者, 被害, 軍",88
"慰安, 者, 被害, 軍",52
"慰安, 者, 者, 被害, 軍",44
"婦, 婦, 慰安, 慰安, 被害, 軍",11
"婦, 婦, 慰安, 慰安, 者, 被害, 軍",26
"婦, 婦, 慰安, 者, 被害, 軍",52
"婦, 婦, 慰安, 者, 者, 被害, 軍",44
"婦, 婦, 慰安, 慰安, 日本, 日本, 被害, 軍",11
"婦, 婦, 慰安, 慰安, 日本, 日本, 者, 被害, 軍",26
"婦, 婦, 慰安, 日本, 日本, 者, 被害, 軍",52
"婦, 婦, 慰安, 日本, 日本, 者, 者, 被害, 軍",44
"婦, 婦, 日本, 日本, 者, 被害, 軍",26
"婦, 婦, 日本, 日本, 者, 者, 被害, 軍",22
"婦, 婦, 慰安, 慰安, 日本, 被害, 軍",22
"婦, 婦, 慰安, 慰安, 日本, 者, 被害, 軍",52
"婦, 婦, 慰安, 日本, 者, 被害, 軍",104
"婦, 婦, 慰安, 日本, 者, 者, 被害, 軍",88
"婦, 婦, 日本, 者, 被害, 軍",52
"婦, 婦, 日本, 者, 者, 被害, 軍",44
"婦, 婦, 者, 被害, 軍",26
"婦, 婦, 者, 者, 被害, 軍",22
"婦, 日本, 日本, 被害, 軍",22
"婦, 日本, 日本, 者, 被害, 軍",52
"婦, 日本, 者, 被害, 軍",104
"婦, 日本, 者, 者, 被害, 軍",88
"婦, 者, 被害, 軍",52
"婦, 者, 者, 被害, 軍",44
"日本, 日本, 被害, 軍",12
"日本, 日本, 者, 被害, 軍",27
"日本, 者, 被害, 軍",54
"日本, 者, 者, 被害, 軍",44
"者, 被害, 軍",27
"者, 者, 被害, 軍",22
"日本, 日本, 者, 軍",11
"慰安, 日本, 日本, 者, 軍",20
"婦, 日本, 日本, 者, 軍",20
"婦, 慰安, 日本, 日本, 者, 軍",20
"婦, 日本, 者, 軍",46
"婦, 慰安, 日本, 者, 軍",98
"婦, 婦, 日本, 者, 軍",26
"婦, 婦, 慰安, 日本, 者, 軍",54
"慰安, 慰安, 日本, 者, 軍",26
"婦, 慰安, 慰安, 日本, 者, 軍",56
"慰安, 者, 軍",26
"婦, 慰安, 者, 軍",58
"慰安, 慰安, 者, 軍",16
"婦, 慰安, 慰安, 者, 軍",34
"婦, 婦, 者, 軍",16
"婦, 婦, 慰安, 者, 軍",36
"婦, 軍",18
"婦, 日本, 軍",31
"婦, 婦, 慰安, 軍",10
"婦, 婦, 慰安, 日本, 軍",16
"婦, 慰安, 日本, 軍",46
"婦, 慰安, 日本, 日本, 軍",19
"慰安, 日本, 軍",31
"慰安, 日本, 日本, 軍",13
"日本, 軍",19
"さん, フラワー",10
"さん, フラワー, 性",10
"フラワー, 性",11
"お話, さん",10
"一, 人",11
"一, 人, 被害",14
"一, 被害",12
"一, 被害, 被害",10
"みる, 先生",10
"参加, 教会",10
"これ, 被害",10
"られる, 暴力",10
"られる, 暴力, 被害",17
"られる, 性, 被害, 被害",11
"られる, 性, 暴力, 被害, 被害",17
"られる, 性, 暴力, 被害",29
"られる, 性, 暴力, 暴力, 被害",18
"られる, 性, 暴力",18
"られる, 性, 暴力, 暴力",11
"られる, 被害",16
"られる, 被害, 被害",12
"問題, 日本",10
"問題, 性",13
"の, みる",11
"人, 人, 女性",11
"人, 人, 女性, 者",21
"人, 人, 人, 女性",10
"人, 人, 人, 女性, 者",10
"人, 女性, 者",14
"女性, 者",11
"女性, 暴力",12
"女性, 性, 暴力",20
"女性, 被害",12
"女性, 性, 被害",11
"女性, 性",15
"人, 慰安, 日本, 日本, 被害",14
"人, 慰安, 日本, 日本, 者, 被害",36
"人, 慰安, 日本, 者, 被害",72
"人, 慰安, 日本, 者, 者, 被害",72
"人, 慰安, 者, 被害",36
"人, 慰安, 者, 者, 被害",36
"慰安, 日本, 日本, 被害",12
"慰安, 日本, 日本, 者, 被害",26
"慰安, 日本, 者, 被害",52
"慰安, 日本, 者, 者, 被害",44
"慰安, 者, 被害",30
"慰安, 者, 者, 被害",24
"慰安, 日本, 者, 者",19
"人, 慰安, 日本, 者, 者",39
"人, 慰安, 者, 者",27
"人, 人, 慰安, 者, 者",36
"慰安, 日本, 日本, 者",10
"人, 慰安, 日本, 日本, 者",12
"人, 慰安, 日本, 者",54
